gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,100,Blue,team,,,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,,Akali,Nocturne,K'Sante,Lee Sin,Wukong,1886,0,3,16,7,3,16,,,,,0,,,,0.0954,0.6045,,2,3,,,,,,,,,2,,,,,,,0,2,,2,9,,,,,0,1,41801,1329.8303,,2574.9735,,97,3.0859,59,1.8770,33,250,7.9533,49907,29292,931.8770,,47512,-0.131637,,,167,127,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,200,Red,team,,,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,,Poppy,Ashe,Neeko,Vi,Jarvan IV,1886,1,16,3,43,16,3,,,,,1,,,,0.5090,0.6045,,3,2,,,,,,,,,3,,,,,,,2,0,,9,2,,,,,1,0,56942,1811.5164,,1917.0414,,122,3.8812,49,1.5589,56,277,8.8123,61737,41122,1308.2291,,54207,0.131637,,,213,121,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,1,Blue,top,Zika,oe:player:65ed20b21e2993fb00dbd21a2fd991b,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Kennen,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,1911,0,2,3,0,3,17,,,,,,0,,,0.0942,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18034,566.2166,0.331371,470.8634,,10,0.3140,0,0.0000,6,24,0.7535,11757,7583,238.0848,0.264382,11560,,293,280,13,6,0,9.1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,2,Blue,jng,Weiwei,oe:player:57da8dfcfbdb4e5b019fe93003db1c4,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Bel'Veth,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,1911,0,0,5,2,3,17,,,,,,0,,,0.0942,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,97.3312,0.056958,700.8477,,11,0.3454,13,0.4082,12,49,1.5385,9526,5352,168.0377,0.186598,9310,,181,32,149,118,1,5.6829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,3,Blue,mid,Scout,oe:player:71e79ef80600d398d90cfebe3b0b758,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Neeko,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,1911,0,1,4,2,3,17,,,,,,0,,,0.0942,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11376,357.1743,0.209038,529.4819,,7,0.2198,9,0.2826,3,31,0.9733,9855,5681,178.3673,0.198068,9210,,219,215,4,3,0,6.8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,4,Blue,bot,GALA,oe:player:867e8957fae1cb59f0808dbcc3aada2,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Senna,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,1911,0,0,2,2,3,17,,,,,,0,,,0.0942,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16509,518.3359,0.303354,348.1319,,37,1.1617,23,0.7221,6,99,3.1083,8470,4296,134.8823,0.14978,7350,,50,50,0,0,0,1.5699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,5,Blue,sup,Mark,oe:player:a74c2977c1fc826e9e7bdb6b224a141,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Tahm Kench,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,1911,0,0,3,2,3,17,,,,,,0,,,0.0942,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5403,169.6389,0.0992791,490.2041,,23,0.7221,2,0.0628,12,33,1.0361,9944,5770,181.1617,0.201171,9300,,213,213,0,0,0,6.6876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,6,Red,top,Xiaoxu,oe:player:8007ba25dee37ac1e4445a6e9f8d252,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Jax,Poppy,Ashe,Rumble,Tristana,Lucian,1911,1,6,0,3,17,3,,,,,,0,,,0.5338,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12231,384.0188,0.194456,622.1664,,15,0.4710,5,0.1570,4,39,1.2245,13492,9318,292.5589,0.21795,11434,,259,237,22,17,0,8.1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,7,Red,jng,naiyou,oe:player:a7b51467f09577883d7150f37393964,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Jarvan IV,Poppy,Ashe,Rumble,Tristana,Lucian,1911,1,1,1,14,17,3,,,,,,0,,,0.5338,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11406,358.1162,0.181341,967.2527,,13,0.4082,17,0.5338,10,63,1.9780,11770,7596,238.4929,0.177672,9825,,190,30,160,106,16,5.9655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,8,Red,mid,VicLa,oe:player:d709285b163a94af9d819e568c592ba,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,LeBlanc,Poppy,Ashe,Rumble,Tristana,Lucian,1911,1,5,1,9,17,3,,,,,,1,,,0.5338,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21309,669.0424,0.338784,557.1115,,12,0.3768,10,0.3140,7,52,1.6327,15147,10973,344.5212,0.256661,12867,,291,282,9,9,0,9.1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,9,Red,bot,Assum,oe:player:da3299cd46f1ad8a86bbadeb6b8a320,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Kalista,Poppy,Ashe,Rumble,Tristana,Lucian,1911,1,4,0,5,17,3,,,,,,0,,,0.5338,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13767,432.2449,0.218886,359.8430,,15,0.4710,11,0.3454,8,40,1.2559,15309,11135,349.6075,0.26045,13249,,340,320,20,12,0,10.6750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,10,Red,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Rell,Poppy,Ashe,Rumble,Tristana,Lucian,1911,1,1,1,11,17,3,,,,,,0,,,0.5338,0.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185,131.3972,0.0665323,472.2763,,61,1.9152,13,0.4082,20,119,3.7363,7905,3731,117.1429,0.0872682,6450,,34,34,0,0,0,1.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,100,Blue,team,,,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,1911,0,3,17,8,3,17,,,,,0,,,,0.0942,0.6279,,0,4,,,,,,,,,0,,,,,,,0,1,,2,9,,,,,0,1,54422,1708.6970,,2539.5290,,88,2.7630,47,1.4757,39,236,7.4097,49552,28682,900.5338,,46730,-0.141117,,,166,126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:03:26,2,13.24,200,Red,team,,,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,,Poppy,Ashe,Rumble,Tristana,Lucian,1911,1,17,3,42,17,3,,,,,1,,,,0.5338,0.6279,,4,0,,,,,,,,,4,,,,,,,1,0,,9,2,,,,,1,0,62898,1974.8195,,2978.6499,,116,3.6421,56,1.7582,49,314,9.8587,63623,42753,1342.3234,,53825,0.141117,,,211,144,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,1,Blue,top,Zika,oe:player:65ed20b21e2993fb00dbd21a2fd991b,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Jax,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1324,1,2,0,5,21,3,,,,,,0,,,0.9517,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10749,487.1148,0.177279,687.4622,,9,0.4079,1,0.0453,2,17,0.7704,9379,6402,290.1208,0.176823,9035,,173,165,8,3,4,7.8399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,2,Blue,jng,Weiwei,oe:player:57da8dfcfbdb4e5b019fe93003db1c4,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Bel'Veth,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1324,1,6,1,7,21,3,,,,,,1,,,0.9517,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8441,382.5227,0.139214,808.4139,,6,0.2719,13,0.5891,4,37,1.6767,10791,7814,354.1088,0.21582,8405,,162,25,137,63,30,7.3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,3,Blue,mid,Scout,oe:player:71e79ef80600d398d90cfebe3b0b758,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Neeko,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1324,1,8,0,8,21,3,,,,,,0,,,0.9517,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17065,773.3384,0.281452,375.9970,,3,0.1360,7,0.3172,3,25,1.1329,11876,8899,403.2779,0.245785,10364,,204,203,1,0,1,9.2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,4,Blue,bot,GALA,oe:player:867e8957fae1cb59f0808dbcc3aada2,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Caitlyn,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1324,1,3,0,4,21,3,,,,,,0,,,0.9517,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12517,567.2356,0.206441,254.0030,,8,0.3625,6,0.2719,4,24,1.0876,11532,8555,387.6888,0.236285,8310,,230,226,4,4,0,10.4230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,5,Blue,sup,Hang,oe:player:ab2455e33b8ddb6a9d2d41107a2ed4f,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Lux,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1324,1,2,2,8,21,3,,,,,,0,,,0.9517,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11861,537.5076,0.195614,215.3927,,34,1.5408,8,0.3625,10,60,2.7190,7513,4536,205.5589,0.125288,6185,,17,15,2,0,2,0.7704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,6,Red,top,Xiaoxu,oe:player:8007ba25dee37ac1e4445a6e9f8d252,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Aatrox,Poppy,Ashe,LeBlanc,Sejuani,Vi,1324,0,0,3,0,3,21,,,,,,0,,,0.1360,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300,376.1329,0.239756,843.0816,,8,0.3625,0,0.0000,1,13,0.5891,6356,3379,153.1269,0.213521,6120,,164,155,9,9,0,7.4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,7,Red,jng,naiyou,oe:player:a7b51467f09577883d7150f37393964,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Lee Sin,Poppy,Ashe,LeBlanc,Sejuani,Vi,1324,0,0,5,1,3,21,,,,,,0,,,0.1360,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3153,142.8852,0.0910808,951.2991,,13,0.5891,4,0.1813,6,28,1.2689,5392,2415,109.4411,0.152613,5270,,93,19,74,62,0,4.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,8,Red,mid,VicLa,oe:player:d709285b163a94af9d819e568c592ba,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Azir,Poppy,Ashe,LeBlanc,Sejuani,Vi,1324,0,2,5,0,3,21,,,,,,0,,,0.1360,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13428,608.5196,0.387873,635.9366,,9,0.4079,1,0.0453,4,12,0.5438,7509,4532,205.3776,0.28637,6690,,165,161,4,3,0,7.4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,9,Red,bot,Assum,oe:player:da3299cd46f1ad8a86bbadeb6b8a320,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Kalista,Poppy,Ashe,LeBlanc,Sejuani,Vi,1324,0,1,5,0,3,21,,,,,,0,,,0.1360,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470,247.8852,0.158005,640.4230,,9,0.4079,2,0.0906,3,17,0.7704,6791,3814,172.8399,0.241005,6660,,151,150,1,0,0,6.8429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,10,Red,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Renata Glasc,Poppy,Ashe,LeBlanc,Sejuani,Vi,1324,0,0,3,2,3,21,,,,,,0,,,0.1360,1.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4268,193.4139,0.123286,510.9063,,36,1.6314,9,0.4079,12,65,2.9456,4662,1685,76.3595,0.10649,4295,,15,15,0,0,0,0.6798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,100,Blue,team,,,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1324,1,21,3,32,21,3,,,,,1,,,,0.9517,1.0876,,2,1,,,,,,,,,2,,,,,,,1,0,,10,0,,,,,2,0,60633,2747.7190,,2341.2236,,60,2.7190,35,1.5861,23,162,7.3414,51091,36208,1640.8459,,42299,0.371884,,,153,69,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 06:54:35,3,13.24,200,Red,team,,,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,,Poppy,Ashe,LeBlanc,Sejuani,Vi,1324,0,3,21,3,3,21,,,,,0,,,,0.1360,1.0876,,1,2,,,,,,,,,1,,,,,,,0,1,,0,10,,,,,0,2,34620,1568.8822,,3581.6465,,75,3.3988,16,0.7251,26,136,6.1631,30710,15827,717.2356,,29035,-0.371884,,,88,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_4,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 07:35:57,4,13.24,1,Blue,top,Xiaoxu,oe:player:8007ba25dee37ac1e4445a6e9f8d252,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Rumble,Poppy,LeBlanc,Neeko,Sejuani,Jax,2032,1,5,1,7,17,9,,,,,,0,,,0.5020,0.7677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20383,601.8602,0.298855,277.5295,,11,0.3248,7,0.2067,6,32,0.9449,14094,9673,285.6201,0.21475,12170,,269,257,12,11,0,7.9429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
